data_year,criminal_act_id,offense_id
2024,6,221959231
2024,6,241945134
2024,4,221959166
2024,6,221959176
2024,6,239629382
2024,4,245374685
2024,6,231529140
2024,6,224240110
2024,6,224240123
2024,3,229563002
2024,6,229563003
2024,6,224240092
2024,6,224240093
2024,6,224240108
2024,4,224240209
2024,4,239629399
2024,6,228364781
2024,6,228364782
2024,4,231529192
2024,6,228364799
2024,6,228364795
2024,6,228364804
2024,6,228364858
2024,8,238039811
2024,4,228364800
2024,6,228364845
2024,6,228364846
2024,6,228364852
2024,6,228364821
2024,6,229563016
2024,6,229563017
2024,6,231529295
2024,6,229563050
2024,8,241945147
2024,6,229563026
2024,3,239629355
2024,3,239629356
2024,6,229563055
2024,6,231529294
2024,6,238039932
2024,3,238040017
2024,3,239629405
2024,4,246801610
2024,6,238040119
2024,6,238040120
2024,8,239629469
2024,6,238040175
2024,6,238040154
2024,3,241945129
2024,6,238040195
2024,6,239629442
2024,6,238040205
2024,6,238040194
2024,4,239629432
2024,6,238040211
2024,1,239629538
2024,6,239629533
2024,4,241945139
2024,6,239629547
2024,6,239629561
2024,6,239629562
2024,6,239629583
2024,6,239629591
2024,4,245374830
2024,6,241945252
2024,8,228364685
2024,8,228364777
2024,8,235682929
2024,8,235682948
2024,8,235683048
2024,6,234014589
2024,6,222646826
2024,3,222646910
2024,6,225534048
2024,6,225534049
2024,8,225534076
2024,6,227255197
2024,6,229147458
2024,3,234014555
2024,6,230837765
2024,1,239629563
2024,6,239629563
2024,6,233487318
2024,3,234014566
2024,2,234014601
2024,6,234014627
2024,6,235683298
2024,1,235683233
2024,1,235684483
2024,12,239629560
2024,1,239629569
2024,6,239629653
2024,6,239629654
2024,2,239629605
2024,6,239629663
2024,6,241119053
2024,2,241119109
2024,8,241119109
2024,3,222645786
2024,6,225534809
2024,6,228370091
2024,6,229773136
2024,6,232006169
2024,6,229773126
2024,6,229773127
2024,8,232006193
2024,6,234014210
2024,6,234014208
2024,6,225527382
2024,6,222111078
2024,6,225527481
2024,4,225527523
2024,6,225527552
2024,3,225528441
2024,6,225527458
2024,3,225527646
2024,6,225527646
2024,3,225527560
2024,6,225527560
2024,8,225527565
2024,4,230182310
2024,4,225527588
2024,6,225527623
2024,6,225527598
2024,6,230182045
2024,3,225527616
2024,2,225527642
2024,2,225527651
2024,6,227254269
2024,6,227254272
2024,1,227254333
2024,1,234895711
2024,4,234895723
2024,6,230182139
